price,size_m2,title,location,link,notes
2550000,300,Terreno plano 300m2 fracc seguro,"Cumbres del Cimatario, Qro",https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,"Frente area verde, vigilancia 24h"
1136500,234,Lote Club Golf El Encino 234m2,Cumbres del Cimatario,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,24% bajo promedio
2750000,300,Terreno 300m2 frente area verde,Cumbres del Cimatario,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,"Muy poca pendiente, amenidades fracc"
2550000,322,Excelente terreno La Biznaga 323m2,Cumbres del Cimatario,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,Vista a ciudad y reserva
2650000,335,Terreno 336m2 La Biznaga,Cumbres del Cimatario,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,"Hermosa vista, cerca Centro Sur"
1200000,160,Lote Mayant Cimatario 160m2,Cimatario / Huimilpan,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,"Vistas caniada, seguridad 24/7"
756000,180,Oportunidad El Encino 180m2,Cumbres del Cimatario,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,34% bajo promedio
1350000,300,Lote 300m2 Villas del Sur,Villas del Sur (cerca Cimatario),https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,Zona habitacional/parque
2600000,285,Terreno habitacional 285m2 Villas del Sur,"Villas del Sur, Qro",https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,Centrico cerca Alameda
2225000,250,Terreno Mallorca 250m2 frente Parque Cimatario,"Mallorca Residence, Cimatario",https://www.inmuebles24.com/terrenos-en-venta-en-cimatario.html,"Amenidades, 20min centro"
3200000,500,Lote plusvalia 500m2 zona crecimiento,Cimatario area,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-cimatario/terreno/for-sale/,Potencial desarrollo
2950000,420,Terreno 420m2 Cimatario consolidado,"Cimatario, Qro",https://www.inmuebles24.com/terrenos-en-venta-en-cimatario.html,Alta plusvalia
